date,buyUnits,buyPrice,sellUnits,sellPrice
1403/12/28,0,0,13000,219416
1403/11/13,0,0,4689,160155
1403/10/17,0,0,722,138801
1403/10/12,0,0,4227,142120
1403/10/10,0,0,1773,141201
1403/07/08,0,0,1000,113370
1403/07/04,0,0,930,111015
1403/07/04,0,0,5860,111750
1403/06/27,0,0,8854,106446
1404/01/05,3429,212500,0,0
1404/01/05,10000,211699,0,0
1403/12/22,525,190320,0,0
1403/12/15,552,181010,0,0
1403/12/06,586,201000,0,0
1403/12/01,5014,199203,0,0
1403/12/01,5014,199200,0,0
1403/11/27,2155,185362,0,0
1403/11/17,592,168795,0,0
1403/11/17,2124,169255,0,0
1403/10/18,704,141975,0,0
1403/10/18,2815,141889,0,0
1403/08/21,825,120950,0,0
1403/08/19,7700,129722,0,0
1403/08/02,44,130875,0,0
1403/07/22,252,118840,0,0
1403/07/11,7592,117400,0,0
1403/07/01,8790,109229,0,0
1403/06/19,2881,104030,0,0
1403/05/24,149,100749,0,0
1403/05/14,4787,104305,0,0
1403/05/13,58,106699,0,0
1403/05/09,979,101999,0,0
